0,[(u'ofsted/JJ', 0.018390323756162712), (u'practice/NN', 0.013242564064339995), (u'good/JJ', 0.012273964809377676), (u'report/NN', 0.012025216756726218), (u'example/NN', 0.011529792208362054), (u'good/JJ_practice/NN', 0.011067108455737829), (u'survey/NN', 0.01084260326296356), (u'school/NN', 0.00842207474143933)]
1,[(u'apprenticeship/NN', 0.016363724024950142), (u'engineering/NN', 0.0091745092427870205), (u'technician/NN', 0.0079268411470444083), (u'sector/NN', 0.0076125277395181698), (u'industry/NN', 0.0071761496988723746), (u'type/NN', 0.0065286524501995567), (u'level/NN', 0.0059747105183593141), (u'skill/NN', 0.0057573793849658352)]
2,[(u'funding/JJ', 0.018584503994530922), (u'funding/NN', 0.016530799850431592), (u'datum/NN', 0.015791941240612603), (u'information/NN', 0.014202637948837433), (u'provider/NN', 0.01374810725500261), (u'rule/NN', 0.010583514190569488), (u'learner/NN', 0.01005749521992629), (u'census/NN', 0.0096068676786656929)]
3,[(u'pupil/NN', 0.031168923067101031), (u'test/NN', 0.024357628497482475), (u'stage/NN', 0.022830052463287027), (u'key/JJ', 0.019459373040468134), (u'key/JJ_stage/NN', 0.017186473422731288), (u'assessment/NN', 0.016075531987224861), (u'national/JJ', 0.0081265024842450892), (u'year/NN', 0.0075615656380839738)]
4,[(u'standard/NN', 0.028138691005412962), (u'employer/NN', 0.013893444199537865), (u'information/NN', 0.012549726188547192), (u'apprenticeship/NN', 0.009182902441187803), (u'funding/JJ', 0.0062668579580614165), (u'educational/JJ_need/NN', 0.0061631027953314354), (u'apprenticeship/NN_standard/NN', 0.0060883246621395099), (u'trailblazer/NN', 0.0060588862008871796)]
5,[(u'work/NN', 0.020478327091464358), (u'experience/NN', 0.015080616267747154), (u'apprenticeship/NN', 0.013811060322583502), (u'work/NN_experience/NN', 0.013765031200327293), (u'year/NN', 0.013206625543464075), (u'employer/NN', 0.012568619035465288), (u'apprentice/NN', 0.01238651197942261), (u'national/JJ', 0.011161716372953347)]
6,[(u'apprenticeship/NN', 0.057020505964083694), (u'apprentice/NN', 0.014844399788829586), (u'type/NN_apprenticeship/NN', 0.0065016418165499057), (u'sector/NN', 0.0061449435111251283), (u'poverty/NN', 0.0060714331929431131), (u'england/NN', 0.0060164302327660145), (u'training/NN', 0.0059260321603763523), (u'level/NN', 0.0057941684949160133)]
7,[(u'academy/NN', 0.042044687222369474), (u'trust/NN', 0.014645523012507025), (u'education/NN', 0.014180529728143326), (u'department/NN', 0.012776887003939268), (u'department/NN_education/NN', 0.011733105159286574), (u'academy/NN_trust/NN', 0.010083705088669011), (u'letter/NN', 0.01005083543628562), (u'warning/NN', 0.0076958044293985147)]
8,[(u'qualification/NN', 0.030873123120765161), (u'student/NN', 0.022602030204797448), (u'level/NN', 0.022221650763921394), (u'gcse/NN', 0.022139964086454605), (u'study/NN', 0.016501636325208222), (u'english/NN', 0.012396004254151907), (u'programme/NN', 0.011857095645665805), (u'exam/NN', 0.0095669110133345444)]
9,[(u'school/NN', 0.11371099798667024), (u'free/JJ', 0.017508231435007911), (u'academy/NN', 0.017075501970637459), (u'education/NN', 0.014600179980746589), (u'local/JJ', 0.014070176171756181), (u'free/JJ_school/NN', 0.013976403353934843), (u'pupil/NN', 0.013919560362566627), (u'funding/NN', 0.0098278027799319732)]
10,[(u'panel/NN', 0.027548771212417292), (u'teacher/NN', 0.024440266944969601), (u'outcome/NN', 0.016393512728187388), (u'secretary/NN_state/NN', 0.012881598140624438), (u'secretary/NN', 0.012524092531307077), (u'state/NN', 0.011965231140110843), (u'decision/NN', 0.01183382705883548), (u'professional/JJ', 0.010541944888782288)]
11,[(u'department/NN', 0.016125535109735634), (u'education/NN', 0.016032216085316863), (u'department/NN_education/NN', 0.010953331287433362), (u'date/NN_birth/NN', 0.007361473595798175), (u'review/NN', 0.0068523939079111803), (u'report/NN', 0.0066120543347536432), (u'consultation/NN', 0.0061635018641995748), (u'information/NN', 0.0061137493251125653)]
12,[(u'inspection/NN', 0.036449566764333287), (u'ofsted/JJ', 0.021565188656919761), (u'service/NN', 0.017261353557468283), (u'provider/NN', 0.012399758346683823), (u'inspector/NN', 0.011377199829820456), (u'childcare/NN', 0.011215610318925207), (u'report/NN', 0.010640480910746824), (u'education/NN', 0.0089423104081201524)]
13,[(u'student/NN', 0.041401663889384939), (u'institution/NN', 0.019427982394207993), (u'university/NN', 0.018147776064018396), (u'education/NN', 0.013118101236190994), (u'higher/JJ', 0.012283398555036667), (u'year/NN', 0.010459361065994925), (u'higher/JJ_education/NN', 0.010291108266294884), (u'uk/NN', 0.0091065611167415808)]
14,[(u'child/NN', 0.057890798067730412), (u'family/NN', 0.014849043343884986), (u'local/JJ', 0.012196408646909318), (u'year/NN', 0.011283682392177669), (u'parent/NN', 0.010666919762745964), (u'person/NN', 0.009761732215086168), (u'care/NN', 0.0097167707020962002), (u'social/JJ', 0.0092613161067826664)]
15,[(u'school/NN', 0.043694179100065358), (u'teacher/NN', 0.016247065448332917), (u'education/NN', 0.013819713200579401), (u'child/NN', 0.011581316698927317), (u'pupil/NN', 0.010748761282344888), (u'year/NN', 0.0099046636948494585), (u'new/JJ', 0.0079522298914206507), (u'good/JJ', 0.0068124860045789696)]
16,[(u'authority/NN', 0.020970873051030028), (u'local/JJ_authority/NN', 0.020645219477415835), (u'local/JJ', 0.019956288447274428), (u'year/NN', 0.018349088812096733), (u'education/NN', 0.015250438579928251), (u'datum/NN', 0.014804631721781881), (u'release/NN', 0.014153902477464958), (u'publication/NN', 0.012330268041010336)]
17,[(u'skill/NN', 0.027204706660917496), (u'agency/NN', 0.021001839888927631), (u'skill/NN_funding/JJ', 0.01879700775949588), (u'funding/JJ_agency/NN', 0.017987963605394966), (u'funding/JJ', 0.015955529906166523), (u'organisation/NN', 0.012061880868359855), (u'training/NN', 0.0080116551196202489), (u'training/NN_organisation/NN', 0.0076568548670019913)]
18,[(u'skill/NN', 0.021489501446017956), (u'person/NN', 0.018792057376989007), (u'young/JJ', 0.013440169060561622), (u'employer/NN', 0.012322596534973116), (u'young/JJ_person/NN', 0.01218456611073794), (u'business/NN', 0.012120073037747023), (u'education/NN', 0.011819141516709817), (u'government/NN', 0.0099116084603590691)]
19,[(u'teacher/NN', 0.028287582789663628), (u'training/NN', 0.0212641905762204), (u'year/NN', 0.015328407987317992), (u'college/NN', 0.01304824717027442), (u'teaching/NN', 0.011838332755485752), (u'teacher/NN_training/NN', 0.0097452196970276642), (u'national/JJ', 0.0090647621059003879), (u'trainee/NN', 0.0088175655080602183)]
